date,real_yield,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10
2024-06-05,0.022855,0.022872975,0.022849478,0.022911126,0.028438415,0.022881367,0.022808083,0.023510453,0.023377046,0.022596922,0.022858092257034023
2024-06-06,0.022851,0.022865388,0.022856832,0.022890653,0.028438884,0.022891489,0.022782022,0.023498593,0.023373046,0.022580967,0.02284912534656049
2024-06-07,0.022823,0.022815525,0.022835162,0.022822221,0.028437946,0.022852707,0.022690319,0.023466801,0.023345046,0.022604932,0.02284865794498314
2024-06-11,0.022787,0.022758343,0.022780786,0.022813073,0.028431379,0.022819197,0.022690133,0.02345972,0.023309046,0.022573755,0.022822364639856
2024-06-12,0.022773,0.022780686,0.022763845,0.022802143,0.028422936,0.022807874,0.022685556,0.023457564,0.023295046,0.022618146,0.022786294393207215
2024-06-13,0.022673,0.022705365,0.02267549,0.022762838,0.028419653,0.022747921,0.022592742,0.023448511,0.023195046,0.02256813,0.022770905603337707
2024-06-14,0.022582,0.022565957,0.022567485,0.022636749,0.0283962,0.022606665,0.022562779,0.023397493,0.023104046,0.022457953,0.02266895466464826
2024-06-17,0.022589,0.022582031,0.022580774,0.022594583,0.028374858,0.022581689,0.022552661,0.023360227,0.023111046,0.022472056,0.022578875440986402
2024-06-18,0.022518,0.022509379,0.022514186,0.022561725,0.0283765,0.022549975,0.022560919,0.02333371,0.023040046,0.022413996,0.0225824431514835
2024-06-19,0.022488,0.022461717,0.022481797,0.02251574,0.028359848,0.022510788,0.022560596,0.023303151,0.023010046,0.022318472,0.022511508413408227
2024-06-20,0.022407,0.022402135,0.022387395,0.022449661,0.028352812,0.022417814,0.022555223,0.023267172,0.022929046,0.022188755,0.02248772059465322
2024-06-21,0.022585,0.022583665,0.022569296,0.022555007,0.028333816,0.022549614,0.022685521,0.023272458,0.023107046,0.022271224,0.02240135642700168
2024-06-24,0.022475,0.022458592,0.022480351,0.022504185,0.028375562,0.022509806,0.022725708,0.023248041,0.022997046,0.022183294,0.02258619406949254
2024-06-25,0.02233,0.022315473,0.022344445,0.022409222,0.028349764,0.022387831,0.022756579,0.023210983,0.022852046,0.02201672,0.022469447003953452
2024-06-26,0.022255,0.022270273,0.022251077,0.02231266,0.028315757,0.022272485,0.022725221,0.023170148,0.022777046,0.021908411,0.022338149022679738
2024-06-27,0.022085,0.022135566,0.022088168,0.022196387,0.028298167,0.022135168,0.022721285,0.023122368,0.022607046,0.021735217,0.022245562098079322
2024-06-28,0.022021,0.022003041,0.022006532,0.022057171,0.028258298,0.022032371,0.022641321,0.023058562,0.022543046,0.02166119,0.022072765630637016
2024-07-01,0.022406,0.022368526,0.022399461,0.022286522,0.028243288,0.022294016,0.022779771,0.023085273,0.022928046,0.022043813,0.02201361876672895
2024-07-02,0.022354,0.022353937,0.022363304,0.022352138,0.028333581,0.022365695,0.022791022,0.023095675,0.022876046,0.021931412,0.022402710032879893
2024-07-03,0.022345,0.022362393,0.022383771,0.022370864,0.028321386,0.022397642,0.022795186,0.023100063,0.022867046,0.021822861,0.022352683172010102
2024-07-04,0.022458,0.022476861,0.022475807,0.022495151,0.028319275,0.022476601,0.022825627,0.023138907,0.022980046,0.021869686,0.022368872507956935
2024-07-05,0.022653,0.022679575,0.022679781,0.022628975,0.028345777,0.022656245,0.02287074,0.023176815,0.023175046,0.022043469,0.022456483611491267
2024-07-08,0.022822,0.022763978,0.0228257,0.022715668,0.02839151,0.022824834,0.022915421,0.02322124,0.023344046,0.022319566,0.02265664748641884
2024-07-09,0.022642,0.022613641,0.02264059,0.022683488,0.028431145,0.022725875,0.022868169,0.023251557,0.023164046,0.02227864,0.022831983409544843
2024-07-10,0.022615,0.022598714,0.022620361,0.022664268,0.02838893,0.022674709,0.022838662,0.02327234,0.023137046,0.022209316,0.02265193461288071
2024-07-11,0.022592,0.022604666,0.022576299,0.0226513,0.028382597,0.022614529,0.022829661,0.023289885,0.023114046,0.022179096,0.022623353503162108
2024-07-12,0.022557,0.022630825,0.022564025,0.022615473,0.028377203,0.02261173,0.022838312,0.02328448,0.023079046,0.022123765,0.02257941234937824
2024-07-15,0.022476,0.022448191,0.022476429,0.02244777,0.028368995,0.02248795,0.022745131,0.023223721,0.022998046,0.021949833,0.02255409665274258
2024-07-16,0.022535,0.022519865,0.022523617,0.022536972,0.028349998,0.022536722,0.022746185,0.023240326,0.023057046,0.02193046,0.022472497108961317
2024-07-17,0.022531,0.022578321,0.022537325,0.022558901,0.028363835,0.022576923,0.022769351,0.023243549,0.023053046,0.021949152,0.02253420750635269
2024-07-18,0.022625,0.022642098,0.022630439,0.022617862,0.028362897,0.022647631,0.02280199,0.023251081,0.023147046,0.022007483,0.02252650989050401
2024-07-19,0.022556,0.022535441,0.022535879,0.02256209,0.028384943,0.022572352,0.022763178,0.023230672,0.023078046,0.021880434,0.022630618164630346
2024-07-22,0.022419,0.02244431,0.022434988,0.022465877,0.02836876,0.022478082,0.022695318,0.023195161,0.022941046,0.021775406,0.022555140869901864
2024-07-23,0.022276,0.022241506,0.022288114,0.022368775,0.02833663,0.022353663,0.022678869,0.023165853,0.022798046,0.021646363,0.02242216099600042
2024-07-24,0.022285,0.022286812,0.022274071,0.022329345,0.028303093,0.022310715,0.022715588,0.023142896,0.022807046,0.021579912,0.022267806720936405
2024-07-25,0.022186,0.022241822,0.022181652,0.02222083,0.028305203,0.022222753,0.022680137,0.023099205,0.022708046,0.021472818,0.022275922933380814
2024-07-26,0.02186,0.021892979,0.021856967,0.021982662,0.028281985,0.021933702,0.023040915,0.023018703,0.022382046,0.021309044,0.022175442715406887
2024-07-29,0.021626,0.021688664,0.02165285,0.021783623,0.028205529,0.021720256,0.022787151,0.022932172,0.022148046,0.021192406,0.021854632438996217
2024-07-30,0.021453,0.021521248,0.021471437,0.021591955,0.028150649,0.021567899,0.022785883,0.022829826,0.021975046,0.021079564,0.021613695454034063
